Symbol,Name,Exchange,Last,Industry,SIC Description,Time,20D MA,50D MA,50D Avg Vol,52W %/High,20D Avg Vol,Prev Vol
DUK,Duke Energy Corp,NYSE,112.52,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/5/2022,108.26,104.53,3004018,-1.42%,2536910,2266200
EC,Ecopetrol S.A. ADR,NYSE,19.31,Emerging Markets Integrated,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,18.1,16.51,1331634,-0.92%,1396580,737600
EGY,Vaalco Energy Inc,NYSE,7.08,International E&P,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,6.36,5.77,1302276,-4.45%,1549345,1107500
EIX,Edison International,NYSE,70.29,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,67.41,64.09,2070570,-2.29%,1901210,1441700
ELP,Companhia Paranaense DE Energia [Copel] ADR,NYSE,7.8,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,7.38,6.93,1054084,-4.24%,1575525,1197600
ENB,Enbridge Inc,NYSE,46.51,Oil - Production & Pipeline,SIC-4610 Pipe Lines (No Natural Gas),4/5/2022,45.3,43.65,4906472,-1.92%,3606930,2556900
EPAY,Bottomline Tech IN,NASDAQ,56.78,Computer - Software,SIC-7372 Services-Prepackaged Software,4/5/2022,56.66,56.6,1044796,-0.11%,824075,442500
EQC,Equity Commonwealth,NYSE,27.88,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/5/2022,27.81,26.95,942108,-4.09%,942165,591400
EQNR,Equinor ASA ADR,NYSE,36.99,Other Alt Energy,SIC-2911 Petroleum Refining,4/5/2022,35.42,32.41,4760204,-3.90%,4228520,2431500
EQR,Equity Residential,NYSE,90.8,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts,4/5/2022,89.12,87.91,1804054,-2.40%,1324560,870300
EQT,Eqt Corp,NYSE,36.23,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,30.4,25.69,10137532,-4.61%,9818735,8147700
ES,Eversource Energy,NYSE,90.09,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,85.88,85.08,2246382,-2.77%,1921130,1148600
ESS,Essex Property Trust,NYSE,348.96,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts,4/5/2022,342.6,331.88,346820,-2.93%,335020,217700
ET,Energy Transfer LP,NYSE,11.19,Oil Gas Prod Pipeline MLP,SIC-4922 Natural Gas Transmission,4/5/2022,10.48,10.2,23729977,-3.99%,24008529,16770400
EVA,Enviva Partners LP,NYSE,81.05,Building Products - Wood,SIC-2400 Lumber & Wood Products (No Furniture),4/5/2022,77.41,73.32,385838,-2.13%,544105,178700
EXC,Exelon Corp,NASDAQ,47.8,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/5/2022,44.99,43.3,10377349,-0.79%,7819570,6212700
EXTN,Exterran Corp,NYSE,6.48,Oil Field Machinery & Equip,"SIC-7359 Services-Equipment Rental & Leasing, NEC",4/5/2022,6.29,5.96,661464,-4.71%,358760,139100
FE,Firstenergy Corp,NYSE,46.64,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,44.64,42.84,4922710,-1.12%,4549155,4379800
FHN,First Horizon Corp,NYSE,23.45,Banks - Southwest,SIC-6021 National Commercial Banks,4/5/2022,23.28,20.79,11107102,-3.26%,10199405,9057400
FLMN,Falcon Minerals Corp Cl A,NASDAQ,6.89,Oil - Field Services,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,6.45,5.87,892500,-3.77%,884710,698500
FMC,FMC Corp,NYSE,133.7,Chemical - Diversified,SIC-2800 Chemicals & Allied Products,4/5/2022,129.91,120.81,1072788,-2.14%,1371160,928400
FNV,Franco Nev Corp,NYSE,160.62,Mining - Gold,SIC-1040 Gold and Silver Ores,4/5/2022,158.15,148.68,769716,-4.60%,808610,486800
GIS,General Mills,NYSE,69.16,Food - Misc & Diversified,SIC-2040 Grain Mill Products,4/5/2022,65.19,66.7,3781446,-1.13%,3961900,2542000
GOGO,Gogo Inc,NASDAQ,19.19,Wireless National,"SIC-4899 Communications Services, NEC",4/5/2022,18.27,15.38,884072,-3.95%,1062740,926300
GSK,Glaxosmithkline Plc ADR,NYSE,44.57,Large Cap Pharma,SIC-2834 Pharmaceutical Preparations,4/5/2022,42.75,43.11,5095348,-4.88%,4840660,3432200
GWW,W.W. Grainger,NYSE,518.85,Industrial Services,SIC-5000 Wholesale-Durable Goods,4/5/2022,503.12,489.84,314528,-1.56%,269355,190300
HDSN,Hudson Tech Inc,NASDAQ,6.37,Industrial Services,"SIC-5080 Wholesale-Machinery, Equipment & Supplies",4/5/2022,6,4.69,635172,-4.35%,1150135,714700
HES,Hess Corp,NYSE,107.63,Oil - US Integrated,SIC-2911 Petroleum Refining,4/5/2022,102.52,97.96,3169932,-3.61%,2722795,1980700
HP,Helmerich & Payne,NYSE,44.03,Oil & Gas - Drilling,SIC-1381 Drilling Oil & Gas Wells,4/5/2022,42.02,36.97,1682750,-3.76%,1627870,1260500
HRL,Hormel Foods Corp,NYSE,52.27,Food - Meat Products,SIC-2011 Meat Packing Plants,4/5/2022,50.47,49.08,2137600,-1.72%,1740065,1468800
IMXI,International Money Express Inc,NASDAQ,21.21,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC",4/5/2022,20.41,17.74,341028,-3.50%,509900,218500
IRM,Iron Mountain Inc,NYSE,55.27,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/5/2022,52.2,48.57,2228092,-2.19%,1944220,1406700
IRT,Independence Realty Trust Inc,NYSE,26.26,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts,4/5/2022,26.04,24.97,5109390,-4.89%,7218255,3218400
IVT,Inventrust Pptys Corp,NYSE,31.29,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/5/2022,29.3,27.41,320982,-2.81%,375760,369000
JKHY,Jack Henry & Assoc,NASDAQ,203.75,Electronic Misc Services,SIC-7373 Services-Computer Integrated Systems Design,4/5/2022,189.59,178.37,655000,-0.60%,586495,424300
JNJ,Johnson & Johnson,NYSE,177.61,Large Cap Pharma,SIC-2834 Pharmaceutical Preparations,4/5/2022,175.22,170.88,8130130,-1.44%,7450385,6860700
JNPR,Juniper Networks,NYSE,36.29,Wireless Equipment,SIC-3576 Computer Communications Equipment,4/5/2022,35.49,34.54,4743328,-4.85%,5012565,3685800
K,Kellogg Company,NYSE,65.79,Food - Misc & Diversified,SIC-2040 Grain Mill Products,4/5/2022,62.38,63.44,2649930,-4.10%,2220210,1345800
KBR,KBR Inc,NYSE,54.16,Engineering & R&D Services,SIC-1600 Heavy Construction Other Than Bldg Const - C,4/5/2022,53.89,49.39,1747712,-3.41%,1815645,1435800
KMI,Kinder Morgan,NYSE,18.92,Oil - Production & Pipeline,SIC-4922 Natural Gas Transmission,4/5/2022,18.33,17.79,18779830,-2.47%,17943930,14577301
KO,Coca-Cola Company,NYSE,62.47,Beverages - Soft,SIC-2080 Beverages,4/5/2022,60.65,61.01,19221193,-1.21%,16789289,11506500
KW,Kennedy-Wilson Holdings Inc,NYSE,24.2,Real Estate Operations,SIC-6500 Real Estate,4/5/2022,23.76,22.94,547516,-4.35%,611010,344700
LAND,Gladstone Land Corp,NASDAQ,37.43,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/5/2022,36.09,32.63,316172,-3.16%,351320,323100
LDOS,Leidos Holdings Inc,NYSE,107.2,Aerospace - Defense,SIC-7373 Services-Computer Integrated Systems Design,4/5/2022,105.86,98.39,1244836,-2.21%,1002950,661100
LFG,Archaea Energy Inc,NYSE,22.41,Other Alt Energy,N/A,4/5/2022,20.52,18.56,1103820,-4.41%,1914320,679000
LLY,Eli Lilly and Company,NYSE,292.49,Large Cap Pharma,SIC-2834 Pharmaceutical Preparations,4/5/2022,282.88,260.48,2895534,-1.13%,3020710,3014100
LNT,Alliant Energy Corp,NASDAQ,63.28,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/5/2022,61.32,59.49,1131858,-1.16%,1118630,767700
LNTH,Lantheus Holdings,NASDAQ,57.34,Medical Products,SIC-2835 In Vitro & In Vivo Diagnostic Substances,4/5/2022,54.17,41.91,1164850,-3.03%,1447510,1100400
MDRX,Allscripts Hlthcare,NASDAQ,22.7,Medical Information Systems,SIC-7373 Services-Computer Integrated Systems Design,4/5/2022,22.06,21.17,2373098,-2.32%,1665455,827900
MEOH,Methanex Cp,NASDAQ,54.63,Chemical - Diversified,SIC-2860 Industrial Organic Chemicals,4/5/2022,53.72,50.8,472082,-3.70%,407475,264300
MET,Metlife Inc,NYSE,70.01,Insurance - Multi Line,SIC-6311 Life Insurance,4/5/2022,68.6,68.07,4992646,-3.50%,4669405,2806500
MFC,Manulife Financial Corp,NYSE,21.47,Insurance - Life,SIC-6311 Life Insurance,4/5/2022,20.65,20.63,4576352,-3.38%,4499740,3802400
MKC,Mccormick & Company,NYSE,102.79,Food - Misc & Diversified,SIC-2090 Miscellaneous Food Preparations & Kindred Pr,4/5/2022,98.05,98.59,1638646,-4.25%,1361955,1353400
MMC,Marsh & Mclennan Companies,NYSE,169.94,Insurance - Brokers,"SIC-6411 Insurance Agents, Brokers & Service",4/5/2022,162.65,156.88,2191434,-2.96%,2028760,1477200
MNDT,Mandiant Inc,NASDAQ,22.45,Security,"SIC-3577 Computer Peripheral Equipment, NEC",4/5/2022,22.18,19.43,8928514,-3.77%,10306010,8613000
MO,Altria Group,NYSE,52.64,Tobacco,SIC-2111 Cigarettes,4/5/2022,52.02,51.4,9236714,-2.45%,9435935,6688600
MPC,Marathon Petroleum Corp,NYSE,84.71,Oil - Refining and Marketing,SIC-2911 Petroleum Refining,4/5/2022,80.36,78.01,6990436,-2.74%,6664520,3802300
MPLX,Mplx LP,NYSE,33.62,Oil - Production & Pipeline,SIC-4610 Pipe Lines (No Natural Gas),4/5/2022,32.93,32.74,2460910,-2.79%,2025430,1334800
NEM,Newmont Mining Corp,NYSE,79.86,Mining - Misc,SIC-1040 Gold and Silver Ores,4/5/2022,77.28,70.31,8817088,-4.61%,8491305,7005100
NFG,National Fuel Gas Company,NYSE,69.34,Utility - Gas Distribution,SIC-4924 Natural Gas Distribution,4/5/2022,67.42,63.78,611644,-2.61%,616505,560400
NGG,National Grid Transco Plc ADR,NYSE,78.63,Utility - Electric Power,SIC-4922 Natural Gas Transmission,4/5/2022,75.14,74.23,409814,-1.34%,365340,318800
NLSN,Nielsen Holdings Plc,NYSE,27.35,Business Information,"SIC-7389 Services-Business Services, NEC",4/5/2022,23.55,20.2,10374706,-3.76%,17948875,11429800
NMFC,New Mountain Finance Corp,NASDAQ,13.71,Finance - SBIC & Commercial,"SIC-6799 Investors, NEC",4/5/2022,13.69,13.58,351442,-2.83%,469705,302100
NXGN,Nextgen Healthcare Inc,NASDAQ,21.07,Medical Information Systems,SIC-7373 Services-Computer Integrated Systems Design,4/5/2022,20.23,19.55,407102,-2.99%,361855,348100
OGE,Oge Energy Corp,NYSE,41.29,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,39.49,38.22,1368564,-0.84%,1303155,1195300
OKE,Oneok Inc,NYSE,69.84,Oil Gas Prod Pipeline MLP,SIC-4923 Natural Gas Transmission & Distribution,4/5/2022,68.65,65.32,2962834,-3.50%,2842885,1750200
ORA,Ormat Technologies,NYSE,81.79,Other Alt Energy,SIC-4911 Electric Services,4/5/2022,79.24,72.74,424532,-1.37%,416135,311500
ORLY,O'Reilly Automotive,NASDAQ,690.49,Retail - Wholesale Auto Parts,SIC-5531 Retail-Auto & Home Supply Stores,4/5/2022,688.39,668.94,617182,-2.87%,574950,532500
PANW,Palo Alto Networks Inc,NASDAQ,621.14,Security,"SIC-3577 Computer Peripheral Equipment, NEC",4/5/2022,588.84,548.29,1801112,-2.32%,1672220,1163400
PBA,Pembina Pipeline Cor,NYSE,37.87,Oil - Production & Pipeline,SIC-1382 Oil & Gas Field Exploration Services,4/5/2022,37.07,34.75,1371500,-2.42%,1252655,853800
PBF,PBF Energy Inc,NYSE,25.46,Oil - Refining and Marketing,SIC-2911 Petroleum Refining,4/5/2022,22.98,20.06,3601126,-4.61%,3658965,1989800
PBR,Petroleo Brasileiro S.A. Petrobras ADR,NYSE,14.91,Emerging Markets Integrated,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,14.1,13.97,35188516,-2.71%,30114520,26073102
PBR.A,Petroleo Brasileiro Sa Petrobr ADR,NYSE,13.85,Emerging Markets Integrated,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,13.11,12.87,15100666,-3.55%,13405610,9824700
PCRX,Pacira Pharm Inc,NASDAQ,76.61,Medical - Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,74.16,68.64,512952,-2.52%,462595,291900
PECO,Phillips Edison & Company Inc,NASDAQ,34.71,REIT - Equity Trust Retail,SIC-6798 Real Estate Investment Trusts,4/5/2022,33.78,32.86,2196616,-4.51%,2853025,572500
PEG,Public Service Enterprise Group Inc,NYSE,70.56,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/5/2022,68,66.59,2507644,-1.22%,2596960,1692700
PEP,Pepsico Inc,NASDAQ,169.5,Beverages - Soft,SIC-2080 Beverages,4/5/2022,163.09,166.14,5696282,-4.37%,5191970,3759900
PLD,Prologis Inc,NYSE,166.28,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/5/2022,157.82,152.57,2965630,-2.15%,2843375,2448100
PNNT,Pennantpark Investme,NASDAQ,7.85,Finance - SBIC & Commercial,"SIC-6799 Investors, NEC",4/5/2022,7.72,7.54,376634,-1.81%,342275,324200
POR,Portland General Electric Company,NYSE,55.02,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,54.53,52.7,561024,-1.84%,568720,498400
PSA,Public Storage,NYSE,395.72,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/5/2022,375.87,365.65,749184,-1.73%,717860,584100
QLYS,Qualys Inc,NASDAQ,140.09,Security,SIC-7372 Services-Prepackaged Software,4/5/2022,135.38,128.69,378582,-3.72%,403875,246800
RCI,Rogers Communication,NYSE,57.19,Cable TV,SIC-4841 Cable & Other Pay Television Services,4/5/2022,54.57,52.87,359126,-1.09%,328395,265400
RE,Everest Re Group,NYSE,298.88,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,290.07,289.77,301754,-3.02%,269835,267400
REGN,Regeneron Pharmaceuticals,NASDAQ,691.47,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,677.5,641.42,726298,-2.67%,705515,498700
RELX,Relx Plc ADR,NYSE,31.78,Internet - Content,"SIC-7389 Services-Business Services, NEC",4/5/2022,30.08,30.27,1335676,-2.84%,1440375,776100
RGLD,Royal Gold Inc,NASDAQ,141.97,Mining - Gold,SIC-6795 Mineral Royalty Traders,4/5/2022,138.96,123.07,646360,-3.76%,601955,376700
RTLR,Rattler Midstream LP Common Units,NASDAQ,14.2,Oil - US Integrated,SIC-4922 Natural Gas Transmission,4/5/2022,13.7,13.31,371622,-4.18%,263970,146800
SFL,Ship Finance International,NYSE,10.2,Transportation - Ship,SIC-4412 Deep Sea Foreign Transportation of Freight,4/5/2022,10.08,9.53,1065822,-4.36%,1075720,827200
SJI,South Jersey Industries,NYSE,34.46,Utility - Gas Distribution,SIC-4924 Natural Gas Distribution,4/5/2022,34.43,30.18,1847968,-2.43%,1560995,1521900
SJR,Shaw Communications Inc,NYSE,31.27,Cable TV,SIC-4841 Cable & Other Pay Television Services,4/5/2022,30.7,30.07,334766,-1.04%,310490,150900
SJT,San Juan Basin Royalty Trust,NYSE,8.91,Oil - US Royalty Trusts,SIC-6792 Oil Royalty Traders,4/5/2022,7.65,7.17,739058,-2.41%,866440,473500
SLGN,Silgan Holdings,NASDAQ,45.36,Containers - Metal & Glass,SIC-3411 Metal Cans,4/5/2022,45.09,43.72,578050,-3.45%,641435,525900
SNY,Sanofi-Aventis S.A. ADR,NASDAQ,52.9,Large Cap Pharma,SIC-2834 Pharmaceutical Preparations,4/5/2022,51.68,51.87,1996196,-2.51%,1820965,1772900
SO,Southern Company,NYSE,74.35,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,70.15,67.98,6364238,-1.05%,5062515,4660900
