Symbol,Name,Exchange,Last,Industry,SIC Description,Time,Previous,5D MA,20D MA,5D Avg Vol,20D Avg Vol,Volume,Prev Vol
MIC,Macquarie Infrastructure Hldgs Llc,NYSE,3.75,Conglomerates - Div Operations,SIC-5172 Wholesale-Petroleum & Petroleum Products (No,4/5/2022,3.74,3.75,3.72,1059980,872415,2335000,919400
MKC,Mccormick & Company,NYSE,102.79,Food - Misc & Diversified,SIC-2090 Miscellaneous Food Preparations & Kindred Pr,4/5/2022,101.35,100.62,98.05,1971820,1361955,2226300,1353400
MMI,Marcus & Millichap,NYSE,56.83,Real Estate Developers,SIC-6531 Real Estate Agents & Managers (For Others),4/5/2022,55.97,54.53,49.52,281540,170250,356600,215400
MORN,Morningstar Inc,NASDAQ,281.32,Business Information,SIC-6282 Investment Advice,4/5/2022,274.15,275.66,272.06,168180,140280,258500,157300
MPAC,Model Performance Acquisition Corp,NASDAQ,10.15,Unclassified,SIC-6770 Blank Checks,4/5/2022,10.13,10.12,10.09,31940,10490,35800,200
MRK,Merck & Company,NYSE,83.72,Large Cap Pharma,SIC-2834 Pharmaceutical Preparations,4/5/2022,83.49,83.04,80.22,10592200,10152335,12040900,9040000
MRUS,Merus N.V. CS,NASDAQ,29.16,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,27.99,27.47,27.17,172260,105330,306400,157400
MSA,Msa Safety Inc,NYSE,136.97,Protection - Safety,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances",4/5/2022,136.47,135.94,134.61,89580,85360,84300,68100
MSP,Datto Holding Corp,NYSE,27.95,Internet - Software,SIC-7372 Services-Prepackaged Software,4/5/2022,27.65,27.16,25.48,722620,536650,1430700,831400
MVBF,Mvb Financial Corp,NASDAQ,43.09,Finance - Misc Services,SIC-6022 State Commercial Banks,4/5/2022,42.62,42.16,40.87,45000,29695,42200,27100
NAT,Nordic American Tanker Shipping Ltd,NYSE,2.38,Transportation - Ship,SIC-4400 Water Transportation,4/5/2022,2.21,2.19,1.99,5019320,3730190,8261200,4709100
NDRA,Endra Life Sciences Inc,NASDAQ,0.4364,Medical Instruments,N/A,4/5/2022,0.3942,0.4002,0.3958,466640,334230,564000,332600
NEU,Newmarket Corp,NYSE,325.03,Chemical - Specialty,SIC-2860 Industrial Organic Chemicals,4/5/2022,322.14,326.2,325.33,39860,37380,69500,39800
NGG,National Grid Transco Plc ADR,NYSE,78.63,Utility - Electric Power,SIC-4922 Natural Gas Transmission,4/5/2022,76.89,77.25,75.14,368900,365340,450500,318800
NNOX,Nano-X Imaging Ltd,NASDAQ,13.39,Technology Services,SIC-3844 X-Ray Apparatus & Tubes & Related Irradiatio,4/5/2022,12.12,11.3,9.92,2781800,1007785,5184700,1712200
NOMD,Nomad Foods Ltd,NYSE,23.36,Food - Misc & Diversified,SIC-2000 Food and Kindred Products,4/5/2022,23.01,22.92,21.35,2172480,1283610,1808300,1487300
NRGV,Energy Vault Hldgs Inc,NYSE,21.64,Other Alt Energy,"SIC-3690 Miscellaneous Electrical Machinery, Equipmen",4/5/2022,18.2,17.39,14.2,1679620,775245,2747900,1390300
NTZ,Natuzzi S.P.A. ADR,NYSE,12.6,Furniture,SIC-2510 Household Furniture,4/5/2022,12,11.88,11.82,14720,9105,13400,11700
NUVB,Nuvation Bio Inc,NYSE,5.75,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,5.65,5.51,5.35,1231480,958710,3021500,475400
NVRO,Nevro Corp,NYSE,77.67,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus,4/5/2022,76.13,74.89,68.87,559780,392685,925000,536300
NXTP,Nextplay Technologies Inc,NASDAQ,0.5563,Gaming,N/A,4/5/2022,0.5547,0.5489,0.5425,399740,377565,1356900,257000
