Symbol,Name,Exchange,Last,Industry,SIC Description,Time,Previous,5D MA,20D MA,5D Avg Vol,20D Avg Vol,Volume,Prev Vol
BR,Broadridge Financial Solutions Llc,NYSE,159.51,Outsourcing,"SIC-7389 Services-Business Services, NEC",4/5/2022,156.61,156.8,151.97,478180,457055,595700,351100
BRID,Bridgford Foods Cp,NASDAQ,11.14,Food - Misc & Diversified,SIC-2013 Sausages & Other Prepared Meat Products,4/5/2022,11.02,10.99,10.98,3860,2465,16300,600
BRTX,Biorestorative Therapies Inc,NASDAQ,5.85,Medical - Biomedical,"SIC-8090 Services-Misc Health & Allied Services, NEC",4/5/2022,5.5,5.4,4.64,76800,43170,177300,69200
BSX,Boston Scientific Corp,NYSE,44.35,Medical Products,SIC-3841 Surgical & Medical Instruments & Apparatus,4/5/2022,44.16,44.5,43.53,8852380,7894785,11425800,10642400
BTBD,Bt Brands Inc,NASDAQ,3.1,Retail - Restaurants,N/A,4/5/2022,2.47,2.63,2.3,250220,131940,1083400,38100
CARE,Carter Bankshares Inc,NASDAQ,17.62,Banks - Northeast,SIC-6021 National Commercial Banks,4/5/2022,17.54,17.48,16.83,130220,105440,140700,123200
CBZ,Cbiz Inc,NYSE,41.31,Consulting,"SIC-7389 Services-Business Services, NEC",4/5/2022,41.1,41.67,40.56,234820,180345,243200,233800
CCI,Crown Castle International Corp,NYSE,193.11,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/5/2022,189.09,188.08,178.75,1791420,1704740,2250300,1216000
CCL,Carnival Corp,NYSE,20.22,Leisure & Recreation Services,SIC-4400 Water Transportation,4/5/2022,19.74,19.97,18.87,37764340,37310461,68213000,25645600
CCOI,Cogent Comm Hlds,NASDAQ,70.32,Wireless National,"SIC-4899 Communications Services, NEC",4/5/2022,68.94,67.82,64.38,331800,291850,371700,276600
CCSI,Consensus Cloud Solutions,NASDAQ,59.34,Internet - Software,SIC-7372 Services-Prepackaged Software,4/5/2022,57.86,59.52,58.92,88680,79860,126500,64800
CENQ,Cenaq Energy Corp Cl A,NASDAQ,10.02,Unclassified,N/A,4/5/2022,10.01,10,9.99,180800,79185,121500,101100
CHD,Church & Dwight Company,NYSE,100.9,Soap and Cleaning Products,"SIC-2840 Soap, Detergents, Cleaning Preparations, Per",4/5/2022,100.81,100.34,98.18,1213680,1136385,1077000,1044700
CHNG,Change Healthcare Inc,NASDAQ,23.73,Medical Information Systems,SIC-7374 Services-Computer Processing & Data Preparat,4/5/2022,22.1,22.26,21.83,5060420,2735290,14597800,4295400
CLEU,China Liberal Education Holdings Ltd,NASDAQ,1.63,Schools,SIC-8200 Services-Educational Services,4/5/2022,1.58,1.472,1.1739,1410060,716980,2084500,629100
CMPX,Compass Therapeutics Inc,NASDAQ,1.86,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc",4/5/2022,1.6,1.528,1.432,383680,209450,381300,120000
CNP,Centerpoint Energy Inc,NYSE,31.03,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,30.93,30.91,29.71,4725080,4513270,5203700,3435000
CNSP,Cns Pharmaceuticals Inc,NASDAQ,0.3797,Medical - Biomedical,N/A,4/5/2022,0.3311,0.3469,0.3282,1765820,1141965,7405800,410800
COGT,Cogent Biosciences Inc,NASDAQ,8.85,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,8.29,8.01,6.97,483560,250925,526100,256900
COLL,Collegium Pharma,NASDAQ,20.08,Medical - Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,19.24,19.87,19.07,417580,336385,587800,325400
CPUH,Compute Health Acquisition Corp Cl A,NYSE,9.8,Unclassified,SIC-6770 Blank Checks,4/5/2022,9.79,9.79,9.77,542460,520465,560800,241600
CRDL,Cardiol Therapeutics,NASDAQ,1.77,Medical - Drugs,"SIC-2836 Biological Products, (No Disgnostic Substanc",4/5/2022,1.51,1.544,1.4385,381180,216865,1190700,77300
CRMD,Cormedix Inc,NASDAQ,5.61,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,5.59,5.62,5.31,456400,438905,344100,236900
CSR,Centerspace,NYSE,99.41,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts,4/5/2022,99.37,99.39,98.69,89100,80725,99700,84300
CUE,Cue Biopharma Inc,NASDAQ,5.75,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,5.49,5.2,5.09,847760,641640,802600,572800
CUTR,Cutera Inc,NASDAQ,71.74,Lasers - Systems & Components,SIC-3845 Electromedical & Electrotherapeutic Apparatu,4/5/2022,71.19,69.95,53.28,526380,418130,505100,386300
DCOM,Dime Community Bancshares Inc,NASDAQ,34.8,Banks - Southeast,SIC-6021 National Commercial Banks,4/5/2022,34.76,34.68,34.32,182760,156835,194300,147400
DDL,Dingdong [Cayman] Ltd ADR,NYSE,6.86,Internet Commerce,SIC-5961 Retail-Catalog & Mail-Order Houses,4/5/2022,4.7,4.53,4,11947680,4299480,48437500,8412800
DHT,Dht Holdings,NYSE,6,Transportation - Ship,SIC-4412 Deep Sea Foreign Transportation of Freight,4/5/2022,5.96,5.87,5.68,2715620,2579115,3526100,2607600
DICE,Dice Therapeutics Inc,NASDAQ,19.3,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,18.43,18.99,18.55,491100,378045,193200,115700
DSP,Viant Technology Inc,NASDAQ,7.71,Technology Services,"SIC-7370 Services-Computer Programming, Data Processi",4/5/2022,7.19,6.9,6.73,364840,363070,1187000,319700
ENLV,Enlivex Therapeutics Ltd,NASDAQ,7.35,Medical - Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,6.3,6.1,5.54,97920,45735,280900,113700
ENSC,Ensysce Biosciences Inc,NASDAQ,1.33,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,1.12,1.152,1.1281,852200,478790,2614900,461200
ESSC,East Stone Acquisition Corp,NASDAQ,10.37,Technology Services,"SIC-7370 Services-Computer Programming, Data Processi",4/5/2022,10.33,10.34,10.33,190580,136970,220500,21500
ETR,Entergy Corp,NYSE,121.31,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,119.41,118.92,113.14,1315500,1151290,1589800,1231300
EVOL,Evolving Systems Inc,NASDAQ,1.98,Communication Network Software,SIC-7371 Services-Computer Programming Services,4/5/2022,1.875,1.865,1.8555,51580,29235,129100,47900
EXC,Exelon Corp,NASDAQ,47.8,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/5/2022,47.34,47.53,44.99,7874180,7819570,8562500,6212700
EXLS,Exlservice Holdings,NASDAQ,149.19,Outsourcing,"SIC-7389 Services-Business Services, NEC",4/5/2022,144.72,145.31,137.08,324900,253790,451000,295900
EZPW,Ezcorp Inc,NASDAQ,6.36,Finance - Consumer Loans,SIC-5900 Retail-Miscellaneous Retail,4/5/2022,5.95,6.13,5.99,381420,312805,821900,245600
FBIO,Fortress Biotech Inc,NASDAQ,1.5,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,1.44,1.422,1.399,650380,505090,693200,603200
FCUV,Focus Universal Inc,NASDAQ,14.53,Internet - Services,"SIC-3823 Industrial Instruments For Measurement, Disp",4/5/2022,14.07,13.88,12.41,61280,54315,77000,53800
FDS,Factset Research Systems Inc,NYSE,440.79,Business Information,"SIC-7370 Services-Computer Programming, Data Processi",4/5/2022,433.17,435.43,425.98,347060,331500,418300,382600
FIS,Fidelity National Information Services,NYSE,103.56,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC",4/5/2022,103.26,102.33,96.61,3835980,3680835,3867900,3544000
FLNG,Flex Lng Ltd,NYSE,29.4,Transportation - Ship,SIC-4400 Water Transportation,4/5/2022,28.32,28.7,24.86,595200,517425,624900,523200
FLOW,SPX Flow Inc,NYSE,86.49,Machinery - Electrical,SIC-3540 Metalworking Machinery & Equipment,4/4/2022,86.31,86.32,86.13,1009960,865610,1709900,1085500
FLT,Fleetcor Technologies,NYSE,256.5,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC",4/5/2022,253.84,251.84,241.28,515940,372745,662200,400900
FMAO,Farmers & Merch Banc,NASDAQ,36.39,Banks - Northeast,"SIC-6035 Savings Institution, Federally Chartered",4/5/2022,36.16,36.17,35.42,29360,22945,27900,23000
FNKO,Funko Inc Cl A,NASDAQ,18.05,Consumer Prdts - Misc Discr,"SIC-3944 Games, Toys & Childrens Vehicles (No Dolls)",4/5/2022,17.63,17.51,17.3,520480,473440,488700,299500
FOUN,Founder Spac Cl A,NASDAQ,10.05,Unclassified,N/A,4/5/2022,10.04,10.03,10.02,118060,44995,53100,700
FTRP,Field Trip Health Ltd,NASDAQ,1.27,Medical - Drugs,N/A,4/5/2022,1.25,1.328,1.3035,175360,159075,500300,163700
G,Genpact Ltd,NYSE,43.88,Outsourcing,SIC-8742 Services-Management Consulting Services,4/5/2022,43.45,43.66,43.28,1026120,873945,1728000,990900
GBT,Global Blood Ther,NASDAQ,37.39,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,37.3,36.04,32.83,1035000,988810,1450000,1223900
GLPG,Galapagos NV ADR,NASDAQ,68.75,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,66.99,65.43,62.78,468640,280960,700500,332100
GNRC,Generac Holdings Inc,NYSE,316.01,Electrical Power,SIC-3621 Motors & Generators,4/5/2022,315.43,308.15,307.86,701780,602975,1074800,557200
