Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CTK,"Cootek Cayman Inc ADR",0.2051,-0.0029,-1.39%,0.2299,0.204,939433,"11:16 ET"
CVRX,"Cvrx Inc",6.44,0.68,+11.81%,6.4,5.74,200554,"11:31 ET"
RPID,"Rapid Micro Biosystems Inc Cl A",5.89,0.46,+8.47%,6,5.45,75669,"11:31 ET"
SXTC,"China Sxt Pharmaceuticals Inc",0.208,0.0031,+1.51%,0.2175,0.195,1092209,"11:18 ET"
ZTO,"Zto Express Cayman Inc ADR",26.35,0.42,+1.62%,26.55,25.68,2123528,"11:32 ET"
"Downloaded from Barchart.com as of 04-28-2022 10:34am CDT"
