Symbol,Name,Exchange,Last,Industry,SIC Description,Time
NSA,National Storage Affiliates Tru,NYSE,61.54,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/28/2022
JCI,Johnson Controls Intl,NYSE,61.5,Protection - Safety,SIC-3585 Air-Cond & Warm Air Heatg Equip & Comm & Ind,4/28/2022
CMP,Compass Minerals Intl Inc,NYSE,61.49,Chemical - Diversified,SIC-1400 Mining & Quarrying of Nonmetallic Minerals (,4/28/2022
SMTC,Semtech Corp,NASDAQ,61.39,Semi Analog & Mixed,SIC-3674 Semiconductors & Related Devices,4/28/2022
GEF,Greif Bros. Corp,NYSE,61.37,Containers - Paper Products,"SIC-3412 Metal Shipping Barrels, Drums, Kegs & Pails",4/28/2022
CEG,Constellation Energy Corp,NASDAQ,61.31,Other Alt Energy,N/A,4/28/2022
LNT,Alliant Energy Corp,NASDAQ,61.23,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/28/2022
GSHD,Goosehead Insurance Inc Cl A,NASDAQ,61.22,Insurance - Multi Line,"SIC-6411 Insurance Agents, Brokers & Service",4/28/2022
TREX,Trex Company,NYSE,61.17,Building Products - Wood,SIC-2400 Lumber & Wood Products (No Furniture),4/28/2022
TCX,Tucows Inc Cl A,NASDAQ,61.16,Internet - Content,SIC-7374 Services-Computer Processing & Data Preparat,4/28/2022
REGI,Renewable Energy,NASDAQ,61.14,Biofuels,SIC-2860 Industrial Organic Chemicals,4/28/2022
ALE,Allete Inc,NYSE,61.08,Utility - Electric Power,SIC-4931 Electric & Other Services Combined,4/28/2022
MRVL,Marvell Technology Inc,NASDAQ,61.06,Technology Services,SIC-3674 Semiconductors & Related Devices,4/28/2022
TTD,Trade Desk Inc,NASDAQ,60.8,Internet - Services,"SIC-7370 Services-Computer Programming, Data Processi",4/28/2022
NGVT,Ingevity Corp,NYSE,60.79,Chemical - Specialty,SIC-2800 Chemicals & Allied Products,4/28/2022
SJW,SJW Corp,NYSE,60.71,Utility - Water Supply,SIC-4941 Water Supply,4/28/2022
WWE,World Wrestling Entertainment,NYSE,60.65,Movie & TV Production & Dist,SIC-7812 Services-Motion Picture & Video Tape Product,4/28/2022
JOBS,51Job Inc ADR,NASDAQ,60.63,Publishing - Periodicals,SIC-7361 Services-Employment Agencies,4/28/2022
BECN,Beacon Roofing Suppl,NASDAQ,60.45,Building Prds Retail - Wsale,SIC-5030 Wholesale-Lumber & Other Construction Materi,4/28/2022
CUTR,Cutera Inc,NASDAQ,60.45,Lasers - Systems & Components,SIC-3845 Electromedical & Electrotherapeutic Apparatu,4/28/2022
BPMC,Blueprint Medicines Corp,NASDAQ,60.23,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/28/2022
WABC,Westamerica Bancorp,NASDAQ,60.2,Banks - West,SIC-6021 National Commercial Banks,4/28/2022
