Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,"Sales %(q)","Sales %(a)","Cash Flow %(q)","Cash Flow %(q-1)","Shareholders Equity %(a)","Wtd Alpha"
SQM,"Sociedad Quimica Y Minera S.A. ADR",NYSE,72.04,Fertilizers,"SIC-1400 Mining & Quarrying of Nonmetallic Minerals (","11:34 ET",+63.90%,+57.51%,+96.38%,+80.62%,+48.71%,+38.62
SWKH,"Swk Holdings Corp",NASDAQ,19.11,"Finance - Misc Services","SIC-6159 Miscellaneous Business Credit Institution","11:12 ET",+56.49%,+52.98%,+48.68%,+19.84%,+11.11%,+17.23
SWN,"Southwestern Energy Company",NYSE,7.33,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:35 ET",+84.42%,+188.86%,+64.22%,+34.52%,+412.47%,+66.36
SWX,"Southwest Gas Corp",NYSE,87.76,"Utility - Gas Distribution","SIC-4923 Natural Gas Transmission & Distribution","11:33 ET",+22.02%,+11.57%,+116.19%,"+3,688.23%",+10.43%,+36.17
SYNL,"Synalloy Cp",NASDAQ,16.63,"Steel - Pipe & Tube","SIC-3317 Steel Pipe & Tubes","11:09 ET",+11.01%,+30.75%,+17.73%,+223.80%,+38.97%,+72.56
TECK,"Teck Resources Ltd",NYSE,38.75,"Mining - Misc","SIC-1400 Mining & Quarrying of Nonmetallic Minerals (","11:34 ET",+11.24%,+61.03%,+80.26%,+122.05%,+22.71%,+81.78
TGS,"Transportadora DE Gas Sa Ord B ADR",NYSE,6.61,"Oil - Production & Pipeline","SIC-4922 Natural Gas Transmission","11:21 ET",+36.49%,+17.76%,+61.23%,+37.78%,+35.05%,+47.70
VET,"Vermilion Energy Inc",NYSE,19.72,"International E&P","SIC-1311 Crude Petroleum & Natural Gas","11:34 ET",+42.27%,+91.20%,+43.49%,+52.97%,+138.64%,+174.97
VHI,"Valhi Inc",NYSE,31.23,"Chemical - Diversified","SIC-2810 Industrial Inorganic Chemicals","11:18 ET",+17.28%,+24.35%,+142.97%,+146.68%,+15.05%,+27.19
VIST,"Vista Energy S.A.B. DE C.V. ADR",NYSE,8.29,"Oil - International Integrated","SIC-1311 Crude Petroleum & Natural Gas","11:28 ET",+11.99%,+138.08%,+52.88%,+72.06%,+11.16%,+176.01
VNOM,"Viper Energy LP",NASDAQ,28.39,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:34 ET",+29.52%,+101.46%,+53.81%,+53.97%,+19.99%,+58.57
WLK,"Westlake Corp",NYSE,126.49,"Chemical - Plastics","SIC-2860 Industrial Organic Chemicals","11:34 ET",+14.80%,+56.96%,+46.24%,+85.60%,+29.64%,+43.36
ZETA,"Zeta Global Holdings Corp Cl A",NYSE,11.01,"Technology Services","SIC-7372 Services-Prepackaged Software","11:30 ET",+17.13%,+24.51%,+89.52%,+77.05%,+206.45%,+19.20
ZIM,"Zim Integrated Shipping Services Ltd",NYSE,55.9,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","11:34 ET",+39.91%,+168.78%,+50.54%,+102.57%,"+1,575.85%",+34.18
"Downloaded from Barchart.com as of 04-28-2022 10:35am CDT"
