Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,Trend,"20D Avg Vol","52W %/High","20D MA","50D MA","100D MA","Market Cap"
PAC,"Grupo Aeroportuario Del Pacifico ADR",NYSE,153.81,"Transportation - Services","SIC-4581 Airports, Flying Fields & Airport Terminal S","10:31 ET",Buy,49781,-8.62%,152.48,146.34,141.76,7878660000
PBF,"PBF Energy Inc",NYSE,29.48,"Oil - Refining and Marketing","SIC-2911 Petroleum Refining","10:26 ET",Buy,3345062,-4.05%,27.21,23.44,19.51,3497022000
PBFX,"PBF Logistics LP",NYSE,15.7,"Oil Gas Prod Pipeline MLP","SIC-4610 Pipe Lines (No Natural Gas)","10:34 ET",Buy,257025,-6.41%,15.11,14.16,13.32,982162000
PDOT,"Peridot Acquisition Corp II Cl A",NYSE,9.82,Unclassified,"SIC-6770 Blank Checks",2022-05-02,Buy,120546,-7.36%,9.81,9.77,9.75,500614000
PEB,"Pebblebrook Hotel Trust",NYSE,24.75,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","10:34 ET",Buy,1646640,-6.35%,24.12,23.58,22.98,3207591000
PFDR,"Pathfinder Acquisition Corp Cl A",NASDAQ,9.82,Unclassified,"SIC-7372 Services-Prepackaged Software",2022-04-29,Buy,91965,-2.19%,9.81,9.77,9.75,398888000
PFHD,"Professional Holding Corp",NASDAQ,22.48,"Banks - Southeast","SIC-6021 National Commercial Banks","10:26 ET",Buy,47824,-8.92%,22.95,22.22,21.23,302689000
PFTA,"Portage Fintech Acquisition Corp",NASDAQ,9.75,Unclassified,N/A,"09:54 ET",Buy,155624,-2.50%,9.76,9.73,9.72,315145000
PICC,"Pivotal Investment Corp III Cl A",NYSE,9.83,Unclassified,"SIC-6770 Blank Checks",2022-05-02,Buy,39090,-4.10%,9.8,9.77,9.76,338100000
PING,"Ping Identity Holding Corp",NYSE,26.59,"IT Services","SIC-7372 Services-Prepackaged Software","10:33 ET",Buy,982631,-12.43%,27.68,24.34,22.76,2191471000
PK,"Park Hotels & Resorts Inc",NYSE,19.78,"REIT - Equity Trust Other","SIC-7011 Hotels & Motels","10:26 ET",Buy,2740045,-12.81%,19.08,18.87,18.78,4655837000
PKG,"Packaging Corp of America",NYSE,161.25,"Containers - Paper Products",,"10:22 ET",Buy,581115,-4.04%,159.44,154.38,146.43,15102274000
PLAN,"Anaplan Inc",NYSE,65.02,"Internet - Software","SIC-7372 Services-Prepackaged Software","10:34 ET",Buy,6333565,-7.55%,65.15,57.54,51.66,9762148000
PLAY,"Dave & Buster's Ente",NASDAQ,45.85,"Retail - Restaurants","SIC-5812 Retail-Eating Places","10:25 ET",Buy,1161868,-12.91%,45.69,43.9,40.66,2209753000
