Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
RCMT,"R C M Tech Inc",17.37,+261.95,+151.73%,+63.68%,+159.76%,+399.26%
NRT,"North European Oil Royality Trust",19.755,+183.82,+96.80%,+21.91%,+51.54%,+264.14%
LNTH,"Lantheus Holdings",66.56,+134.10,+126.03%,+11.89%,+149.71%,+175.53%
ASC,"Ardmore Shipping Corp",6.48,+72.36,+86.68%,+37.47%,+74.31%,+60.97%
"Downloaded from Barchart.com as of 05-02-2022 09:35am CDT"
