Symbol,Name,Exchange,Last,Industry,"SIC Description",Time
CRVL,"Corvel Cp",NASDAQ,156.67,"Business Services","SIC-6411 Insurance Agents, Brokers & Service","12:30 ET"
AAPL,"Apple Inc",NASDAQ,156.13,"Computer - Mini","SIC-3571 Electronic Computers","12:33 ET"
ADI,"Analog Devices",NASDAQ,155.89,"Semi Analog & Mixed","SIC-3674 Semiconductors & Related Devices","12:33 ET"
MIDD,"Middleby Corp",NASDAQ,154.47,"Machinery - General Industrial","SIC-3580 Refrigeration & Service Industry Machinery","12:31 ET"
HLT,"Hilton Inc",NYSE,154.4,"Hotels & Motels","SIC-7011 Hotels & Motels","12:33 ET"
PLD,"Prologis Inc",NYSE,154.04,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:33 ET"
ALGT,"Allegiant Travel Com",NASDAQ,153.52,"Transportation - Airline","SIC-4512 Air Transportation, Scheduled","12:32 ET"
LSTR,"Landstar System",NASDAQ,153.52,"Transportation - Truck","SIC-4213 Trucking (No Local)","12:32 ET"
CNXC,"Concentrix Corp",NASDAQ,152.92,"Business Services","SIC-7389 Services-Business Services, NEC","12:31 ET"
SYNA,"Synaptics Inc",NASDAQ,152.25,"Electronics - Semiconductors","SIC-3674 Semiconductors & Related Devices","12:32 ET"
WMT,"Walmart Inc",NYSE,152.11,"Retail - Supermarket","SIC-5331 Retail-Variety Stores","12:33 ET"
LANC,"Lancaster Colony Cor",NASDAQ,152.03,"Food - Misc & Diversified","SIC-2030 Canned, Frozen & Preserved Fruit, Veg & Food","12:25 ET"
PAC,"Grupo Aeroportuario Del Pacifico ADR",NYSE,151.77,"Transportation - Services","SIC-4581 Airports, Flying Fields & Airport Terminal S","12:30 ET"
AWK,"American Water Works",NYSE,151.16,"Utility - Water Supply","SIC-4941 Water Supply","12:32 ET"
FRC,"First Republic Bank",NYSE,151.13,"Banks - West","SIC-6029 Commercial Banks, NEC","12:32 ET"
CPT,"Camden Property Trust",NYSE,150.64,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts","12:32 ET"
ABNB,"Airbnb Inc Cl A",NASDAQ,150.15,"Internet - Content","SIC-7340 Services-To Dwellings & Other Buildings","12:32 ET"
ABC,"Amerisourcebergen Corp",NYSE,150.13,"Medical - Dental Suppliers","SIC-5122 Wholesale-Drugs, Proprietaries & Druggists","12:32 ET"
FNV,"Franco Nev Corp",NYSE,149.65,"Mining - Gold","SIC-1040 Gold and Silver Ores","12:32 ET"
NBR,"Nabors Industries",NYSE,149.25,"Oil & Gas - Drilling","SIC-1381 Drilling Oil & Gas Wells","12:28 ET"
CDNS,"Cadence Design Sys",NASDAQ,149.02,"Computer - Software","SIC-7372 Services-Prepackaged Software","12:33 ET"
VAC,"Marriot Vacations Worldwide Cor",NYSE,148.84,"Hotels & Motels","SIC-6531 Real Estate Agents & Managers (For Others)","12:30 ET"
NUE,"Nucor Corp",NYSE,148.01,"Steel - Producers","SIC-3312 Steel Works, Blast Furnaces & Rolling Mills","12:33 ET"
AMR,"Alpha Metallurgical Resources Inc",NYSE,147.89,"Mining - Misc","SIC-1221 Bituminous Coal & Lignite Mining","12:32 ET"
ABBV,"Abbvie Inc",NYSE,147.77,"Large Cap Pharma","SIC-2834 Pharmaceutical Preparations","12:33 ET"
JJSF,"J J Snack Foods",NASDAQ,147.36,"Food - Misc & Diversified","SIC-2052 Cookies & Crackers","12:27 ET"
PKI,Perkinelmer,NYSE,147.34,"Industrial Scientific","SIC-3826 Laboratory Analytical Instruments","12:33 ET"
THG,"The Hanover Insurance Group",NYSE,146.85,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:18 ET"
BA,"Boeing Company",NYSE,146.85,"Aerospace - Defense","SIC-3721 Aircraft","12:33 ET"
BNTX,"Biontech Se ADR",NASDAQ,146.76,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc","12:32 ET"
UAN,"Cvr Partners LP",NYSE,146.26,Fertilizers,"SIC-2870 Agricultural Chemicals","12:17 ET"
CE,"Celanese Corp",NYSE,146.22,"Chemical - Specialty","SIC-2820 Plastic Material, Synth Resin/Rubber, Cellul","12:32 ET"
MMM,"3M Company",NYSE,146.01,"Conglomerates - Div Operations","SIC-3841 Surgical & Medical Instruments & Apparatus","12:33 ET"
ETN,"Eaton Corp",NYSE,145.9,"Machinery - Electrical","SIC-3590 Misc Industrial & Commercial Machinery & Equ","12:33 ET"
MHK,"Mohawk Industries",NYSE,144.28,"Textile - Home Furnishings","SIC-2273 Carpets & Rugs","12:30 ET"
RNR,"Renaissancere Holdings Ltd",NYSE,144.16,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:28 ET"
MRNA,"Moderna Inc",NASDAQ,144.08,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc","12:32 ET"
IIPR,"Innovative Industrial Properties",NYSE,143.75,"REIT - Equity Trust Other","SIC-6500 Real Estate","12:27 ET"
CLX,"Clorox Company",NYSE,143.7,"Soap and Cleaning Products","SIC-2842 Specialty Cleaning, Polishing and Sanitation","12:33 ET"
CW,"Curtiss-Wright Corp",NYSE,143.25,"Aerospace - Defense Equipment","SIC-3590 Misc Industrial & Commercial Machinery & Equ","12:24 ET"
BR,"Broadridge Financial Solutions Llc",NYSE,143,Outsourcing,"SIC-7389 Services-Business Services, NEC","12:32 ET"
QCOM,"Qualcomm Inc",NASDAQ,141.93,"Wireless Equipment","SIC-3663 Radio & Tv Broadcasting & Communications Equ","12:33 ET"
SITE,"Siteone Landscape Supply",NYSE,141.34,"Industrial Services","SIC-5040 Wholesale-Professional & Commercial Equipmen","12:31 ET"
DLR,"Digital Realty Trust",NYSE,141.22,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:33 ET"
VRTV,"Veritiv Corp",NYSE,140.77,"Paper & Related Products","SIC-5110 Wholesale-Paper & Paper Products","12:27 ET"
KEYS,"Keysight Technologies Inc Comm",NYSE,140.37,"Electronics - Measuring Inst","SIC-3823 Industrial Instruments For Measurement, Disp","12:32 ET"
TT,"Trane Technologies Plc",NYSE,140.32,"Technology Services","SIC-3822 Auto Controls For Regulating Residential & C","12:31 ET"
HEI,"Heico Corp",NYSE,140.08,"Aerospace - Defense Equipment","SIC-3724 Aircraft Engines & Engine Parts","12:33 ET"
TTEK,"Tetra Tech Inc",NASDAQ,139.6,"Pollution Controls","SIC-8711 Services-Engineering Services","12:31 ET"
CHH,"Choice Hotels International",NYSE,139.47,"Hotels & Motels","SIC-7011 Hotels & Motels","12:31 ET"
BH,"Biglari Holdings Inc",NYSE,139,"Retail - Restaurants","SIC-5812 Retail-Eating Places",2022-05-02
QLYS,"Qualys Inc",NASDAQ,138.59,Security,"SIC-7372 Services-Prepackaged Software","12:32 ET"
SLAB,"Silicon Labs Inc",NASDAQ,138.33,"Semi Analog & Mixed","SIC-3674 Semiconductors & Related Devices","12:32 ET"
J,"Jacobs Engineering Group Inc",NYSE,138.32,"Engineering & R&D Services","SIC-1600 Heavy Construction Other Than Bldg Const - C","12:33 ET"
AFG,"American Financial Group",NYSE,138,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:30 ET"
BAP,"Credicorp Ltd",NYSE,137.67,"Banks - Foreign","SIC-6029 Commercial Banks, NEC","12:32 ET"
KMB,"Kimberly-Clark Corp",NYSE,136.58,"Consumer Prdts - Misc Staple","SIC-2670 Converted Paper & Paperboard Prods (No Conta","12:32 ET"
MEDP,"Medpace Holdings Inc",NASDAQ,136.37,"Medical Services","SIC-8731 Services-Commercial Physical & Biological Re","12:33 ET"
WCN,"Waste Connections Inc",NYSE,136.16,"Waste Removal Svcs","SIC-4953 Refuse Systems","12:32 ET"
ALNY,"Alnylam Pharmaceuticals",NASDAQ,135.37,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","12:32 ET"
SJM,"J.M. Smucker Company",NYSE,135.14,"Food - Misc & Diversified","SIC-2033 Canned, Fruits, Veg, Preserves, Jams & Jelli","12:32 ET"
LNN,"Lindsay Corp",NYSE,135.03,"Machinery - Farm","SIC-3523 Farm Machinery & Equipment","12:26 ET"
WSM,Williams-Sonoma,NYSE,135,"Retail - Home Furniture","SIC-5700 Retail-Home Furniture, Furnishings & Equipme","12:33 ET"
EXLS,"Exlservice Holdings",NASDAQ,134.96,Outsourcing,"SIC-7389 Services-Business Services, NEC","12:32 ET"
LECO,"Lincoln Elec Holdings",NASDAQ,134.19,"Machinery - Tools & Related","SIC-3540 Metalworking Machinery & Equipment","12:32 ET"
DGX,"Quest Diagnostics Inc",NYSE,133.59,"Medical - Outpatient & Hm Care","SIC-8071 Services-Medical Laboratories","12:31 ET"
DOV,"Dover Corp",NYSE,133.55,"Machinery - General Industrial","SIC-3530 Construction, Mining & Materials Handling Ma","12:32 ET"
CNMD,"C O N M E D Cp",NYSE,133.07,"Medical - Dental Suppliers","SIC-3845 Electromedical & Electrotherapeutic Apparatu","12:32 ET"
IBM,"International Business Machines",NYSE,132.91,"Computer - Integrated Systems","SIC-3570 Computer & Office Equipment","12:33 ET"
RSG,"Republic Services",NYSE,132.82,"Waste Removal Svcs","SIC-4953 Refuse Systems","12:32 ET"
FMC,"FMC Corp",NYSE,132.32,"Chemical - Diversified","SIC-2800 Chemicals & Allied Products","12:32 ET"
MNDY,"Monday.com Ltd",NASDAQ,132,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
CFR,"Cullen/Frost Bankers",NYSE,131.86,"Banks - Southwest","SIC-6021 National Commercial Banks","12:32 ET"
DRI,"Darden Restaurants",NYSE,131.15,"Retail - Restaurants","SIC-5812 Retail-Eating Places","12:32 ET"
MANH,"Manhattan Assoc",NASDAQ,130.9,"Computer - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
GPC,"Genuine Parts Company",NYSE,130.51,"Auto - Truck Replacement Parts","SIC-5013 Wholesale-Motor Vehicle Supplies & New Parts","12:33 ET"
OLED,"Universal Display",NASDAQ,130.45,"Electronics - Misc Components","SIC-3670 Electronic Components & Accessories","12:32 ET"
NOVT,"Novanta Inc",NASDAQ,130.38,"Electronics - Misc Components","SIC-3690 Miscellaneous Electrical Machinery, Equipmen","12:24 ET"
PRI,"Primerica Inc",NYSE,130.31,"Insurance - Life","SIC-6311 Life Insurance","12:18 ET"
RGLD,"Royal Gold Inc",NASDAQ,129.64,"Mining - Gold","SIC-6795 Mineral Royalty Traders","12:31 ET"
OAS,"Oasis Petroleum Inc",NASDAQ,129.42,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","12:31 ET"
LEA,"Lear Corp",NYSE,129.29,"Auto - Truck Original Parts","SIC-3714 Motor Vehicle Parts & Accessories","12:32 ET"
DTE,"Dte Energy Company",NYSE,129.27,"Utility - Electric Power","SIC-4911 Electric Services","12:32 ET"
SGEN,"Seagen Inc",NASDAQ,129.22,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc","12:31 ET"
PPG,"PPG Industries",NYSE,129.14,"Chemical - Diversified","SIC-2851 Paints, Varnishes, Lacquers, Enamels & Allie","12:33 ET"
AGCO,"Agco Corp",NYSE,128.67,"Machinery - Farm","SIC-3523 Farm Machinery & Equipment","12:31 ET"
WTS,"Watts Water Technologies",NYSE,128.65,"Industrial Controls","SIC-3490 Miscellaneous Fabricated Metal Products","12:32 ET"
RRX,"Regal Rexnord Corp",NYSE,128.59,"Machinery - Electrical","SIC-3621 Motors & Generators","12:32 ET"
HRI,"Herc Holdings Inc",NYSE,128.1,"Transportation - Equip & Lease","SIC-7350 Services-Miscellaneous Equipment Rental & Le","12:32 ET"
LSI,"Life Storage",NYSE,128,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:33 ET"
CHKP,"Check Point Software",NASDAQ,127.94,Security,"SIC-7372 Services-Prepackaged Software","12:31 ET"
AMED,"Amedisys Inc",NASDAQ,127.4,"Medical - Outpatient & Hm Care","SIC-8082 Services-Home Health Care Services","12:31 ET"
ALL,"Allstate Corp",NYSE,127.37,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:32 ET"
ALG,"Alamo Group",NYSE,127.14,"Machinery - Farm","SIC-3523 Farm Machinery & Equipment","12:03 ET"
PAYX,"Paychex Inc",NASDAQ,126.93,Outsourcing,"SIC-8700 Services-Engineering, Accounting, Research,","12:32 ET"
WLK,"Westlake Corp",NYSE,126.84,"Chemical - Plastics","SIC-2860 Industrial Organic Chemicals","12:32 ET"
IRTC,"Irhythm Technologies Inc",NASDAQ,126.76,"Medical Information Systems","SIC-3841 Surgical & Medical Instruments & Apparatus","12:32 ET"
COF,"Capital One Financial Corp",NYSE,125.95,"Finance - Consumer Loans","SIC-6021 National Commercial Banks","12:33 ET"
BIDU,"Baidu Inc ADR",NASDAQ,125.67,"Internet - Services","SIC-7370 Services-Computer Programming, Data Processi","12:33 ET"
FANG,"Diamondback Energy",NASDAQ,125.53,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","12:33 ET"
FERG,"Ferguson Plc",NYSE,125.34,"Machinery - General Industrial","SIC-5200 Retail-Building Materials, Hardware, Garden","12:25 ET"
AME,"Ametek Inc",NYSE,125.15,"Electronic Test Equipment","SIC-3823 Industrial Instruments For Measurement, Disp","12:31 ET"
TMUS,"T-Mobile US",NASDAQ,125.1,"Wireless National","SIC-4812 Radiotelephone Communications","12:32 ET"
TEL,"Te Connectivity Ltd",NYSE,125,"Electronics - Misc Components","SIC-5065 Wholesale-Electronic Parts & Equipment, NEC","12:32 ET"
NKE,"Nike Inc",NYSE,124.54,"Shoes and Related Apparel","SIC-3021 Rubber & Plastics Footwear","12:32 ET"
CPK,"Chesapeake Utilities Corp",NYSE,124.35,"Utility - Gas Distribution","SIC-4923 Natural Gas Transmission & Distribution","12:02 ET"
GPN,"Global Payments Inc",NYSE,123.73,"Financial Transaction Services","SIC-7389 Services-Business Services, NEC","12:33 ET"
FSV,"Firstsrvce Sub VT Sh",NASDAQ,123.49,"Real Estate Operations","SIC-6500 Real Estate","12:27 ET"
EXP,"Eagle Materials Inc",NYSE,123.28,"Building - CMT & CNT & AG","SIC-3241 Cement, Hydraulic","12:29 ET"
OKTA,"Okta Inc Cl A",NASDAQ,122.99,"Internet Software Services","SIC-7372 Services-Prepackaged Software","12:32 ET"
WCC,"Wesco International",NYSE,122.61,"Electronics - Parts Distrib","SIC-5063 Wholesale-Electrical Apparatus & Equipment,","12:32 ET"
SPLK,"Splunk Inc",NASDAQ,122.57,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
SWK,"Stanley Black & Decker Inc",NYSE,122.23,"Machinery - Tools & Related","SIC-3420 Cutlery, Handtools & General Hardware","12:32 ET"
IFF,"International Flavors & Fragrances",NYSE,122.16,"Consumer Prdts - Misc Staple","SIC-2860 Industrial Organic Chemicals","12:32 ET"
ZEN,"Zendesk Inc",NYSE,122.07,"Internet - Software","SIC-7374 Services-Computer Processing & Data Preparat","12:32 ET"
COIN,"Coinbase Global Inc Cl A",NASDAQ,121.95,"Securities Exchanges","SIC-6199 Finance Services","12:33 ET"
BCPC,"Balchem Cp",NASDAQ,121.38,"Chemical - Specialty","SIC-2800 Chemicals & Allied Products","12:24 ET"
WD,"Walker & Dunlop",NYSE,121.3,"Finance - Mortgage & Rel Svs","SIC-6199 Finance Services","12:30 ET"
UHS,"Universal Health Services",NYSE,121.06,"Medical - Hospitals","SIC-8062 Services-General Medical & Surgical Hospital","12:32 ET"
SPSC,"Sps Commerce Inc",NASDAQ,120.98,"Business Services","SIC-7372 Services-Prepackaged Software","12:16 ET"
TTWO,"Take-Two Interactive",NASDAQ,120.95,"Toys & Game & Hobby","SIC-7372 Services-Prepackaged Software","12:33 ET"
ZBH,"Zimmer Biomet Holdings",NYSE,120.82,"Medical Products","SIC-3842 Orthopedic, Prosthetic & Surgical Appliances","12:32 ET"
CINF,"Cincinnati Financial",NASDAQ,120.56,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:33 ET"
DDOG,"Datadog Inc Cl A",NASDAQ,119.99,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
JPM,"JP Morgan Chase & Company",NYSE,119.48,"Banks - Major Regional","SIC-6021 National Commercial Banks","12:33 ET"
JBT,"John Bean Technologies Corp",NYSE,119.24,"Machinery - Thermal Processing","SIC-3550 Special Industry Machinery (No Metalworking","12:32 ET"
EA,"Electronic Arts Inc",NASDAQ,119.21,"Toys & Game & Hobby","SIC-7372 Services-Prepackaged Software","12:32 ET"
A,"Agilent Technologies",NYSE,119.19,"Electronic Test Equipment","SIC-3826 Laboratory Analytical Instruments","12:32 ET"
MSA,"Msa Safety Inc",NYSE,119.08,"Protection - Safety","SIC-3842 Orthopedic, Prosthetic & Surgical Appliances","12:30 ET"
SI,"Silvergate Capital Corp Cl A",NYSE,118.98,"Banks - Southwest","SIC-6022 State Commercial Banks","12:32 ET"
PIPR,"Piper Jaffray Companies",NYSE,118.78,"Finance - Investment Brokers","SIC-6211 Security Brokers, Dealers & Flotation Compan","12:26 ET"
GME,"Gamestop Corp",NYSE,118.75,"Retail - Consumer Electronics","SIC-5734 Retail-Computer & Computer Software Stores","12:32 ET"
EEFT,"Euronet Worldwide",NASDAQ,118.42,"Finance - Misc Services","SIC-6099 Functions Related To Depository Banking, NEC","12:25 ET"
ARW,"Arrow Electronics",NYSE,117.9,"Electronics - Parts Distrib","SIC-5065 Wholesale-Electronic Parts & Equipment, NEC","12:31 ET"
CNI,"Canadian National Railway",NYSE,117.85,"Transportation - Rail","SIC-4011 Railroads, Line-Haul Operating","12:32 ET"
ETR,"Entergy Corp",NYSE,117.84,"Utility - Electric Power","SIC-4911 Electric Services","12:33 ET"
NVEE,"Nv5 Global",NASDAQ,117.61,Consulting,"SIC-7380 Services-Miscellaneous Business Services","12:31 ET"
ANET,"Arista Networks Inc",NYSE,117.39,"Communications Components","SIC-3576 Computer Communications Equipment","12:32 ET"
MASI,"Masimo Corp",NASDAQ,117.34,"Medical Instruments","SIC-3845 Electromedical & Electrotherapeutic Apparatu","12:32 ET"
AN,"Autonation Inc",NYSE,117.15,"Retail - Wsale Auto & Trucks","SIC-5500 Retail-Auto Dealers & Gasoline Stations","12:32 ET"
QRVO,"Qorvo Inc",NASDAQ,117,"Semi Radio Frequency","SIC-3674 Semiconductors & Related Devices","12:32 ET"
MKSI,"Mks Instruments Inc",NASDAQ,116.71,"Electrical - Manufacturing","SIC-3823 Industrial Instruments For Measurement, Disp","12:32 ET"
WIRE,"Encore Wire Cp",NASDAQ,116.69,"Wire & Cable Products","SIC-3350 Rolling Drawing & Extruding of Nonferrous Me","12:31 ET"
BXP,"Boston Properties",NYSE,116.51,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:33 ET"
SPG,"Simon Property Group",NYSE,116.41,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts","12:32 ET"
AXON,"Axon Enterprise Inc",NASDAQ,116.39,"Protection - Safety","SIC-3480 Ordnance & Accessories, (No Vehicles/Guided","12:32 ET"
TWLO,Twilio,NYSE,116.13,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
SWKS,"Skyworks Solutions",NASDAQ,116.1,"Semi Radio Frequency","SIC-3674 Semiconductors & Related Devices","12:32 ET"
PWR,"Quanta Services",NYSE,115.91,"Engineering & R&D Services","SIC-1731 Electrical Work","12:32 ET"
VLO,"Valero Energy Corp",NYSE,115.64,"Oil - Refining and Marketing","SIC-2911 Petroleum Refining","12:32 ET"
HEI.A,"Heico Cp Cl A",NYSE,115.58,"Aerospace - Defense Equipment","SIC-3724 Aircraft Engines & Engine Parts","12:32 ET"
YUM,"Yum! Brands",NYSE,115.25,"Retail - Restaurants","SIC-5812 Retail-Eating Places","12:32 ET"
PTC,"Ptc Inc",NASDAQ,114.91,"Computer - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
ATR,Aptargroup,NYSE,114.9,"Containers - Paper Products","SIC-3089 Plastics Products, NEC","12:31 ET"
BG,"Bunge Ltd",NYSE,114.77,"Agriculture Products","SIC-2070 Fats & Oils","12:32 ET"
FRT,"Federal Realty Investment Trust",NYSE,114.67,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts","12:32 ET"
EOG,"Eog Resources",NYSE,114.57,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","12:32 ET"
FIVN,"Five9 Inc",NASDAQ,114.5,"Internet - Software","SIC-7374 Services-Computer Processing & Data Preparat","12:31 ET"
ICE,"Intercontinental Exchange",NYSE,114.32,"Securities Exchanges","SIC-6200 Security & Commodity Brokers, Dealers, Excha","12:32 ET"
CPRT,"Copart Inc",NASDAQ,114.27,"Auction Valuation Services","SIC-5500 Retail-Auto Dealers & Gasoline Stations","12:31 ET"
CBRL,"Cracker Barrel",NASDAQ,114.26,"Retail - Restaurants","SIC-5812 Retail-Eating Places","12:31 ET"
ALLE,"Allegion Plc",NYSE,113.95,"Protection - Safety","SIC-7381 Services-Detective, Guard & Armored Car Serv","12:32 ET"
ENTG,"Entegris Inc",NASDAQ,113.91,"Electrical - Manufacturing","SIC-3089 Plastics Products, NEC","12:33 ET"
RLI,"Rli Corp",NYSE,113.66,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:28 ET"
OFLX,"Omega Flex Inc",NASDAQ,113.58,"Steel - Pipe & Tube","SIC-3430 Heating Equip, Except Elec & Warm Air; & Plu","12:23 ET"
NVO,"Novo Nordisk A/S ADR",NYSE,113.17,"Large Cap Pharma","SIC-2834 Pharmaceutical Preparations","12:31 ET"
BFAM,"Bright Horizons Family Solutions Inc",NYSE,113.1,Schools,"SIC-8351 Services-Child Day Care Services","12:32 ET"
OMCL,"Omnicell Inc",NASDAQ,112.91,"Medical Information Systems","SIC-3571 Electronic Computers","12:32 ET"
ABT,"Abbott Laboratories",NYSE,112.4,"Medical Products","SIC-2834 Pharmaceutical Preparations","12:33 ET"
DIS,"Walt Disney Company",NYSE,112.39,"Media Conglomerates","SIC-7990 Services-Miscellaneous Amusement & Recreatio","12:33 ET"
ATO,"Atmos Energy Corp",NYSE,112.34,"Utility - Gas Distribution","SIC-4924 Natural Gas Distribution","12:31 ET"
KRTX,"Karuna Therapeutics Inc",NASDAQ,112.15,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","12:31 ET"
AKAM,"Akamai Technologies",NASDAQ,112,"Internet - Services","SIC-7389 Services-Business Services, NEC","12:32 ET"
USLM,"U S Lime & Mineral",NASDAQ,112,"Building - CMT & CNT & AG","SIC-1400 Mining & Quarrying of Nonmetallic Minerals (","11:19 ET"
DFS,"Discover Financial Services",NYSE,111.91,"Finance - Consumer Loans","SIC-6141 Personal Credit Institutions","12:32 ET"
AMAT,"Applied Materials",NASDAQ,111.76,"Semi-Eqpt Wafer Fabrication","SIC-3674 Semiconductors & Related Devices","12:33 ET"
LBRDK,"Liberty Broadbd C",NASDAQ,111.51,"Cable TV","SIC-4841 Cable & Other Pay Television Services","12:33 ET"
ASGN,"On Assignment",NYSE,111.45,"IT Services","SIC-7363 Services-Help Supply Services","12:33 ET"
GRMN,"Garmin Ltd",NYSE,110.12,"Electronics Products - Misc","SIC-3812 Search, Detection, Navigation, Guidance, Aer","12:33 ET"
LAMR,"Lamar Advertis A",NASDAQ,110.1,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:32 ET"
CCK,"Crown Cork & Seal Company",NYSE,109.76,"Containers - Metal & Glass","SIC-3411 Metal Cans","12:32 ET"
HSKA,"Heska Corp",NASDAQ,109.65,"Medical - Biomedical","SIC-2835 In Vitro & In Vivo Diagnostic Substances","12:30 ET"
PGR,"Progressive Corp",NYSE,109.51,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:33 ET"
WWD,"Woodward Inc",NASDAQ,109.43,"Industrial Controls","SIC-3620 Electrical Industrial Apparatus","12:32 ET"
CM,"Canadian Imperial Bank of Commerce",NYSE,109.39,"Banks - Foreign","SIC-6029 Commercial Banks, NEC","12:28 ET"
EVR,"Evercore Partners Inc",NYSE,109.27,"Finance - Investment Brokers","SIC-6282 Investment Advice","12:32 ET"
VMW,"Vmware Inc",NYSE,109.22,"Computer - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
DUK,"Duke Energy Corp",NYSE,108.68,"Utility - Electric Power","SIC-4931 Electric & Other Services Combined","12:32 ET"
PRU,"Prudential Financial Inc",NYSE,108.22,"Insurance - Multi Line","SIC-6311 Life Insurance","12:32 ET"
CHRW,"C.H. Robinson Ww",NASDAQ,107.82,"Transportation - Services","SIC-4731 Arrangement of Transportation of Freight & C","12:32 ET"
LYB,"Lyondellbasell Industries NV",NYSE,107.52,"Chemical - Diversified","SIC-2860 Industrial Organic Chemicals","12:32 ET"
SMG,"Scotts Miracle-Gro Company",NYSE,107.45,Fertilizers,"SIC-2870 Agricultural Chemicals","12:32 ET"
SPOT,"Spotify Technology S.A.",NYSE,107.2,"Technology Services","SIC-4832 Radio Broadcasting Stations","12:32 ET"
DVA,"Davita Healthcare Partners Inc",NYSE,107.17,"Medical - Outpatient & Hm Care","SIC-8090 Services-Misc Health & Allied Services, NEC","12:32 ET"
LBRDA,"Liberty Broadbd A",NASDAQ,107.09,"Cable TV","SIC-4841 Cable & Other Pay Television Services","12:19 ET"
TER,"Teradyne Inc",NASDAQ,107.09,"Electronic Test Equipment","SIC-3825 Instruments For Meas & Testing of Electricit","12:32 ET"
APTV,"Aptiv Plc",NYSE,106.75,"Technology Services","SIC-3714 Motor Vehicle Parts & Accessories","12:32 ET"
EME,"Emcor Group",NYSE,106.7,"Building - Heavy Construction","SIC-1731 Electrical Work","12:24 ET"
RGA,"Reinsurance Group of America Inc",NYSE,106.54,"Insurance - Life","SIC-6311 Life Insurance","12:19 ET"
CIGI,"Colliers Intl Grp IN",NASDAQ,106.41,"Real Estate Operations","SIC-6500 Real Estate","12:28 ET"
CSWI,"Csw Industrials Inc",NASDAQ,106.24,"Chemical - Specialty","SIC-2891 Adhesives & Sealants","12:26 ET"
PAG,"Penske Automotive Group",NYSE,105.87,"Retail - Wsale Auto & Trucks","SIC-5500 Retail-Auto Dealers & Gasoline Stations","12:32 ET"
NSP,"Insperity Inc",NYSE,105.44,Staffing,"SIC-7363 Services-Help Supply Services","12:31 ET"
APPF,"Appfolio Cl A",NASDAQ,105.22,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:28 ET"
SSD,"Simpson Manufacturing Company",NYSE,105.21,"Building & Construction - Misc","SIC-3420 Cutlery, Handtools & General Hardware","12:32 ET"
RL,"Ralph Lauren Corp",NYSE,105.07,"Textile - Apparel","SIC-2320 Mens & Boys Furnishings, Work Clothg, & Alli","12:31 ET"
BMO,"Bank of Montreal",NYSE,104.79,"Banks - Foreign","SIC-6029 Commercial Banks, NEC","12:32 ET"
EW,"Edwards Lifesciences Corp",NYSE,104.75,"Medical Instruments","SIC-3842 Orthopedic, Prosthetic & Surgical Appliances","12:33 ET"
BX,"Blackstone Inc",NYSE,104.59,"Finance - Misc Services","SIC-6282 Investment Advice","12:33 ET"
NTRS,"Northern Trust Corp",NASDAQ,104.36,"Banks - Major Regional","SIC-6022 State Commercial Banks","12:32 ET"
LYV,"Live Nation Entertainment",NYSE,104.12,"Leisure & Recreation Services","SIC-7900 Services-Amusement & Recreation Services","12:32 ET"
ZM,"Zoom Video Communications Cl A",NASDAQ,104.12,"Internet - Software","SIC-7370 Services-Computer Programming, Data Processi","12:32 ET"
