Symbol,Name,Exchange,Last,Industry,"SIC Description",Time
MCD,"McDonald's Corp",NYSE,244.62,"Retail - Restaurants","SIC-5812 Retail-Eating Places","12:32 ET"
CRL,"Charles River Laboratories Intl",NYSE,244.18,"Medical Services","SIC-8731 Services-Commercial Physical & Biological Re","12:32 ET"
LH,"Laboratory Corp of America Holdings",NYSE,241.9,"Medical - Dental Suppliers","SIC-8071 Services-Medical Laboratories","12:32 ET"
ISRG,"Intuitive Surg Inc",NASDAQ,240.1,"Medical Instruments","SIC-3842 Orthopedic, Prosthetic & Surgical Appliances","12:32 ET"
CVCO,"Cavco Inds Inc",NASDAQ,239.23,"Building - Mobile Homes & RV","SIC-2451 Mobile Homes","12:20 ET"
AMT,"American Tower Corp",NYSE,238.85,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:32 ET"
ESGR,"Enstar Group Ltd",NASDAQ,237.75,"Insurance - Multi Line","SIC-6331 Fire, Marine & Casualty Insurance","12:31 ET"
SYK,"Stryker Corp",NYSE,236.11,"Medical Products","SIC-3841 Surgical & Medical Instruments & Apparatus","12:33 ET"
UNP,"Union Pacific Corp",NYSE,235.72,"Transportation - Rail","SIC-4011 Railroads, Line-Haul Operating","12:33 ET"
LHX,"L3Harris Technologies Inc",NYSE,235.26,"Aerospace - Defense","SIC-3812 Search, Detection, Navigation, Guidance, Aer","12:32 ET"
APD,"Air Products and Chemicals",NYSE,234.88,"Chemical - Diversified","SIC-2810 Industrial Inorganic Chemicals","12:32 ET"
DG,"Dollar General Corp",NYSE,234.71,"Retail - Discount","SIC-5331 Retail-Variety Stores","12:32 ET"
GD,"General Dynamics Corp",NYSE,234.35,"Aerospace - Defense","SIC-3730 Ship & Boat Building & Repairing","12:33 ET"
LFUS,"Littelfuse Inc",NASDAQ,232.74,"Electronics - Misc Components","SIC-3613 Switchgear & Switchboard Apparatus","12:18 ET"
PXD,"Pioneer Natural Resources Company",NYSE,232.02,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","12:32 ET"
MUSA,"Murphy USA Inc",NYSE,231.26,"Oil - Refining and Marketing","SIC-5500 Retail-Auto Dealers & Gasoline Stations","12:31 ET"
AMGN,"Amgen Inc",NASDAQ,229.68,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc","12:32 ET"
TGT,"Target Corp",NYSE,229.55,"Retail - Discount","SIC-5331 Retail-Variety Stores","12:33 ET"
TEAM,"Atlassian Cls A Ord",NASDAQ,229.4,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
ICLR,"Icon Plc",NASDAQ,227.6,"Medical Services","SIC-8731 Services-Commercial Physical & Biological Re","12:32 ET"
GNRC,"Generac Holdings Inc",NYSE,223.72,"Electrical Power","SIC-3621 Motors & Generators","12:32 ET"
KNSL,"Kinsale Capital Group Inc",NYSE,222.75,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:31 ET"
STE,"Steris Corp",NYSE,222.23,"Medical Instruments","SIC-3842 Orthopedic, Prosthetic & Surgical Appliances","12:32 ET"
AVB,"Avalonbay Communities",NYSE,220.24,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts","12:33 ET"
GLOB,"Globant S.A.",NYSE,220.14,"Internet Software Services","SIC-7374 Services-Computer Processing & Data Preparat","12:32 ET"
HSY,"Hershey Foods Corp",NYSE,219.42,"Food - Confectionery","SIC-2060 Sugar & Confectionery Products","12:33 ET"
ADP,"Automatic Data Procs",NASDAQ,218.24,Outsourcing,"SIC-7374 Services-Computer Processing & Data Preparat","12:33 ET"
NDSN,"Nordson Corp",NASDAQ,218.19,"Machinery - General Industrial","SIC-3569 General Industrial Machinery & Equipment, NE","12:32 ET"
CME,"CME Group Inc",NASDAQ,218.01,"Securities Exchanges","SIC-6200 Security & Commodity Brokers, Dealers, Excha","12:33 ET"
IQV,"Iqvia Holdings Inc",NYSE,216.87,"Technology Services","SIC-8731 Services-Commercial Physical & Biological Re","12:32 ET"
JLL,"Jones Lang Lasalle Inc",NYSE,216.16,"Real Estate Operations","SIC-6531 Real Estate Agents & Managers (For Others)","12:32 ET"
LII,"Lennox International",NYSE,215.45,"Building Prdcts - Air Heating","SIC-3585 Air-Cond & Warm Air Heatg Equip & Comm & Ind","12:32 ET"
ASR,"Grupo Aeroportuario Del Sureste ADR",NYSE,214.8,"Transportation - Services","SIC-4581 Airports, Flying Fields & Airport Terminal S","12:30 ET"
MSI,"Motorola Solutions",NYSE,213.84,"Wireless Equipment","SIC-3663 Radio & Tv Broadcasting & Communications Equ","12:32 ET"
MLAB,"Mesa Labs Inc",NASDAQ,213.47,"Medical Instruments","SIC-3823 Industrial Instruments For Measurement, Disp","12:20 ET"
HII,"Huntington Ingalls Industries",NYSE,213.47,"Aerospace - Defense","SIC-3730 Ship & Boat Building & Repairing","12:32 ET"
SNA,"Snap-On Inc",NYSE,213.24,"Tools - Hand Held","SIC-3420 Cutlery, Handtools & General Hardware","12:33 ET"
CHDN,"Churchill Downs IN",NASDAQ,212.96,Gaming,"SIC-7948 Services-Racing, Including Track Operation","12:33 ET"
ICUI,"I C U Medical Inc",NASDAQ,212.08,"Medical Products","SIC-3841 Surgical & Medical Instruments & Apparatus","12:27 ET"
WTW,"Willis Towers Watson Public Ltd CO",NASDAQ,211.47,"Insurance - Brokers","SIC-6411 Insurance Agents, Brokers & Service","12:32 ET"
CAT,"Caterpillar Inc",NYSE,211.34,"Machinery - Construct & Mining","SIC-3531 Construction Machinery & Equip","12:33 ET"
HCA,"Hca Holdings Inc",NYSE,211.1,"Medical - Hospitals","SIC-8062 Services-General Medical & Surgical Hospital","12:32 ET"
INSP,"Inspire Medical Systems Inc",NYSE,209.47,"Medical Information Systems","SIC-3841 Surgical & Medical Instruments & Apparatus","12:31 ET"
RACE,"Ferrari N.V.",NYSE,209.39,"Auto - Truck Original Parts","SIC-3711 Motor Vehicles & Passenger Car Bodies","12:32 ET"
V,"Visa Inc",NYSE,209.09,"Financial Transaction Services","SIC-7389 Services-Business Services, NEC","12:33 ET"
ESLT,"Elbit Systems Ltd",NASDAQ,208.96,"Aerospace - Defense Equipment","SIC-3728 Aircraft Parts & Auxiliary Equipment, NEC","12:33 ET"
NICE,"Nice Ltd ADR",NASDAQ,207.37,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:31 ET"
WDAY,"Workday Inc",NASDAQ,207.36,"Internet - Software","SIC-7374 Services-Computer Processing & Data Preparat","12:32 ET"
BIIB,"Biogen Inc",NASDAQ,206.99,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc","12:33 ET"
FB,"Meta Platforms Inc",NASDAQ,206.99,"Internet - Software","SIC-7370 Services-Computer Programming, Data Processi","12:33 ET"
BURL,"Burlington Stores Inc",NYSE,206.83,"Retail - Discount","SIC-5311 Retail-Department Stores","12:31 ET"
ZS,"Zscaler Inc",NASDAQ,206.7,"Internet - Services","SIC-7371 Services-Computer Programming Services","12:32 ET"
HELE,"Helen of Troy Ltd",NASDAQ,206.47,"Cosmetics & Toiletries","SIC-3634 Electric Housewares & Fans","12:31 ET"
SAIA,"Saia Inc",NASDAQ,206.05,"Transportation - Truck","SIC-4213 Trucking (No Local)","12:32 ET"
